from_lncRNA,to_mRNA
CDKN2B-AS1,miR-191
MAP3K20-AS1,YAP1
TWIST1,DUXAP9
DUXAP9,TWIST1
DGCR5,CDKN1A
SNHG15,YAP1
SNHG8,CCND1
SNHG8,CASP3
SNHG8,CDK6
CASC15,TLR4
WSPAR,TCF7
DLX6-AS1,GADD45A
LINC-ROR,miR-145
CCAT1,miR-218
LncND,miR-143-3p
MEG3,miR-125a-5p
linc-UFC1,miR-34a
TP53COR1,PTEN
MIAT,miR-150
HOTAIRM1,miR-20a
HOTAIRM1,miR-125b
HOTAIRM1,miR-106b
LINC-ROR,miR-124
LINC-ROR,PKM
PVT1,BCL2
PVT1,CCND1
PVT1,FASN
MALAT1,ELAVL1
TUG1,miR-9
HOTAIR,PTEN
MIAT,miR-29b
ZFAS1,CRP
LINC-ROR,FSCN1
GAS5,PTEN
LINC-ROR,let-7family
PART1,DNMT3A
FOXD3-AS1,miR-150
cir-GLI2,miR-125b-5p
PTENP1,PTEN
PCA3,miR-106b
SNHG12,miR-138
circGFRA1,GFRA1
LNCRNA-ATB,ZEB1
MEG3,PDCD4
LINC01619,FOXO1
TUSC7,miR-10a
GAS5,miR-23a
MALAT1,miR-101
LINC-ROR,RAD18
FLVCR1-DT,MET
NEAT1,BCL2
NEAT1,CCND1
UCA1,HK2
NEAT1,miR-204
MALAT1,FOXQ1
LINC00483,SPAG9
H19,let-7b
DUXAP10,CDKN1A
LINC01139,TGFB1
snaR,GAB2
SNHG20,RUNX2
WDFY3-AS2,CDH2
MIAT,CDH2
MEG3,CDH2
LINC01446,TPT1
Lnc-EPIC1,MYC
RAD51-AS1,RAD51
SLCO4A1-AS1,CTNNB1
SMAD4,LINP1
lncR-D63785,MEF2D
HOXA11-AS,RND3
HOXA11-AS,HOXA7
HOTAIR,miR-330-5p
XIST,NOD2
LINC01605,MMP9
NEAT1,DDX5
MIR31HG,ST7L
SNHG1,YAP1
MEG3,miR-182
HOTTIP,LATS2
LINC00460,MMP9
HOXB13-AS1,HOXB13
RP11-543N12.1,miR-324-3p
CRRL,HOPX
MALAT1,NFE2L1
MALAT1,KEAP1
SNHG6,CDKN1A
TUG1,AURKA
UCA1,BRD4
UCA1,MYC
SNHG1,SIAH1
lncRNA-ECM,ICAM1
UCA1,ZEB1
XIST,miR-155-5p
JPX,XIST
SNHG5,GSK3B
AGAP2-AS1,MYD88
ANCR,TGFB1
NEAT1,miR-506
RP11-79H23.3,PTEN
CDKN2B-AS1,miR-203a
TINCR,TRIP13
CDKN2B-AS1,BMI1
CDKN2B-AS1,CASP3
CDKN2B-AS1,BCL2
CDKN2B-AS1,MTA1
CDKN2B-AS1,TIMP2
CDKN2B-AS1,CDH1
DLEU1,KPNA3
E2F1,LSINCT5
DNMT1,MEG3
NEAT1,IL6
PVT1-214,LIN28A
PVT1,IGF1R
TINCR,FBXW7
ETS1-AS1,HNRNPK
GAS8-AS1,ATG5
FOXD2-AS1,S100A1
PVT1,miR-200c
H19,EZH2
H19,E2F3
CDKN2B-AS1,SIRT1
XIST,TGFB1
HIF1A,UCA1
TUG1,SOX4
HOXA9,HOTAIR
SPRY4-IT1,CDC20
LNC00312,CCNB1
MYCNOS-01,MYCN
MYCNOS-01,MYCN
HNF1A,HNF1A-AS1
HNF1A-AS1,PTPN6
UCA1,YAP1
LINC00261,HES1
LINC00261,NOTCH1
CDKN2B-AS1,TGFB1
CDKN2B-AS1,SMAD2
CDKN2B-AS1,SMAD7
CDKN2B-AS1,let-7a
H19,NKD1
CDKN2B-AS1,PI3K
CDKN2B-AS1,AKT1
HOTAIR,MAPK1
H19,miR-152
NCK1-DT,CDK1
SPRY4-IT1,AKT1
CCND2-AS1,CDH2
CCND2-AS1,VIM
SNHG7,miR-5059
UCA1,HMGB1
BG981369,SOX4
LINC-PINT,HMOX1
DANCR,RAB1A
HNF1A-AS1,miR-17-5p
HOTTIP,SGK1
XLOC_008466,miR-216b
OIP5-AS1,BCL2
SPRY4-IT1,TGFB1
CCAT1,miR-148b
HOTAIR,miR-206
HOTAIR,MRTFA
LINC00473,CHUK
SNHG7,FAIM2
TP73-AS1,PPP1R13L
CERNA2,BCL2
CERNA2,BAX
AF119895,NXF3
CRNDE,NOTCH1
HOTAIR,miR-34a
CDKN2B-AS1,miR-122-5p
TP73-AS1,ZEB1
TP73-AS1,TWIST1
TP73-AS1,CDH1
SPRY4-IT1,EZH2
MALAT1,EGFR
TDRG1,miR-196
TDRG1,RHOC
NEAT1,miR-101
H19,ERBB2
SNHG12,miR-320
XLOC_000647,NLRP3
CAV1,HOTAIR
HAND2-AS1,HAND2
HAND2-AS1,NMU
NEAT1,STAT3
UCA1,miR-122
FEZF1-AS1,FEZF1
NKILA,NFKBIA
NKILA,RELA
CCDC26,KIT
PVT1-5,SLC7A5
LOC101927497,miR-574-5p
STAT3,HAGLROS
HAGLROS,MTOR
HAGLROS,RHEB
H19,CDH1
H19,ZEB1
H19,VIM
LINC00460,IL6
SNHG12,NOTCH2
SNHG15,miR-211-3p
SNHG20,CTNNB1
LINC00176,miR-9
LINC00176,miR-185
MYC,LINC00176
KRAS,CCAT2
HAGLR,FZD4
miR-196a,GAS5
LUCAT1,ABCB1
CPS1-IT1,HIF1A
TUG1,FOXA1
CYTOR,BRCA1
CYTOR,PTEN
TP53COR1,miR-130b
TP53COR1,PTEN
CASC2,MTOR
MALAT1,FBXW8
DUXAP9,MMP9
WSPAR,EPCAM
GACAT3,miR-497
CCAT1,miR-143
HULC,BECN1
HULC,MTOR
GACAT3,CCND2
H19,CDH1
AB073614,JAK2
AB073614,STAT3
DANCR,miR-216a
TMEM238L,VIM
CCAT1,HOXA1
GAS5,ATG3
LINC00518,ABCC1
RP11-789C1.1,CDH1
PVT1,INCENP
PCGEM1,RHOA
PCGEM1,YAP1
PCGEM1,MMP2
PCGEM1,BCL2L1
PCGEM1,RPS6KB1
RCC2-AS1,RCC2
LINC01121,GLP1R
MT1JP,RUNX3
MT1JP,CDKN1A
MT1JP,BCL2L11
SH3PXD2A-AS1,CDKN1C
SH3PXD2A-AS1,KLF2
HOTAIR,miR-203a-3p
LNCDQ,CDH1
CYTOR,BMI1
SNHG12,miR-424-5p
SNHG16,PRMT5
LINC00707,CDC42
EPEL,CCNB1
GAS5,TIMP2
DGCR5,EGFR
HOXA-AS2,EGFR
ZEB1-AS1,miR-335-5p
PVT1,miR-497
miR-548k,NPTN-IT1
BISPR,miR-21-5p
SNHG1,NOB1
NEAT1,MCL1
H19,E2F1
HULC,miR-122
TP73-AS1,TFAM
Lnc-EGFR,EGFR
AC078922.1,miR-31
RP11-317J10.2,CCND1
PCAT7,miR-134-5p
NPTN-IT1,NOTCH1
SUMO1P3,miR-320a
PVT1,EZH2
SNHG1,CDH1
SNHG1,VIM
SNHG1,CDH2
SNHG1,NOTCH1
SNHG1,HES2
CCAT2,miR-216b
CCAT1,miR-219-1
HULC,ZIC2
PVT1,miR-214
SALL4,DANCR
GAS5,PTEN
CCAT1,SOX4
uc.38,PBX1
MEG3,PI3K
HAGLR,miR-133a-3p
SOX21-AS1,MYO6
FALEC,CDKN1A
DLX6-AS1,MMP2
HNF1A-AS1,CTNNB1
HNF1A-AS1,CCND1
HNF1A-AS1,MYC
ZEB2-AS1,miR-27b
CDKN2B-AS1,miR-199a
ZEB1-AS1,STAT3
HOTTIP,HOXA9
HNF1A-AS1,SIRT1
HNF1A-AS1,TP53
UCA1,SF1
H19,E2F1
TP53COR1,PKM
MIR31HG,miR-31
MIR31HG,RNF144B
CRNDE,IRS1
GAS5,miR-222
MIR210HG,miR-503
NEAT1,HMGA2
BANCR,NOTCH2
MALAT1,ZEB1
MALAT1,FGF2
GAS5,DIRAS3
CDKN2B-AS1,BRI3
PTCSC3,SCAI
CCAT1,FGFR3
CCAT1,PDGFRA
LNCARSR,PTEN
Lnc-BM,JAK2
Lnc-BM,STAT3
WT1,MEG3
LINC-ROR,TP53
LINC-ROR,MYC
XIST,ATG7
MIAT,HDAC4
MALAT1,ATG12
XIST,PPP1R13L
lncHERG,miR-940
NORAD,RHOA
DANCR,NPTN-IT1
ILF3-DT,miR-200b
ILF3-DT,miR-200a
ILF3-DT,miR-429
SOX2,PVT1
NEAT1,MAPK6
UCA1,miR-135a
FTH1P3,miR-224-5p
LINC00473,ILF2
HOXA11-AS,EZH2
PCAT1,HMGB1
PCAT1,FSCN1
MALAT1,miR-129-5p
HOTTIP,ZEB1
FEZF1-AS1,CDH1
UCA1,GRK2
LINC00963,PGK1
CCAT1,miR-152
YY1,PVT1
HOTAIR,FASN
NORAD,PTEN
XIST,PDCD4
SOX2-OT,SOX2
MEG3,ADH4
DLEU1,CDK1
PCAT1,MYC
PWAR5,EZH2
SNHG15,VEGFA
SNHG15,CDC42
AP000439.3,CCND1
MIAT,ZEB1
MT1DP,MT1F
RP11-436H11.5,BCL2L2
SNHG17,CDKN1C
MALAT1,BCL2
MALAT1,MMP13
UICLM,ZEB2
Lnc-Myd88,MYD88
HULC,ATG7
HULC,ITGB1
PVT1,MCL1
CCAT1,ITPKB
XIST,miR-29c
SNHG20,CDKN1A
FOXC2-AS1,MMP2
MALAT1,CAPNS1
H19,DNMT3B
GAS5,FOXO1
NEAT1,miR-613
GHET1,ATF1
PCAT1,WNT1
HOTAIR,BECN1
HOTAIR,ABCB1
HOTAIR,ABCB4
DANCR,AXL
BLACAT1,miR-144
HOXA11-AS,miR-140-5p
HOXA11-AS,CDKN1A
HOXA11-AS,miR-124
CASC2,SOX4
SNHG7,CDKN2B
SNHG7,CDKN2A
MEG3,TP53
MALAT1,HMGB1
XIST,EGFR
HAS2-AS1,HAS2
MEG3,miR-93
HOXA11-AS,SP1
SNHG1,DNMT1
HAGLR,miR-147a
NNT-AS1,CDK6
IGFBP4-1,IGFBP4
HOTTIP,HOXA13
PVT1,miR-424
GAS5,miR-135b
H19,CUL4A
H19,ABCB1
PARTICL,WWOX
PCAT7,ELF2
TUG1,CPEB2
HULC,HMGA2
DPP10-AS1,TIMP3
TRERNA1,SNAI1
TRERNA1,CDH1
MALAT1,miR-200c
MVIH,ARID1A
XIST,CDKN1A
XIST,miR-29c
XIST,SP1
XIST,MGMT
NEAT1,miR-128
GAS5,PTEN
LncRNA-SARCC,miR-143-3p
PVT1,MMP9
HCG11,IGF2BP1
H19,DNMT1
HOXA5,LINC00312
MALAT1,CKS1B
H19,ID2
RP11-713B9.1,CADM1
TUG1,SOX4
HOTAIR,SLC2A1
SNHG3,MYC
PCAT1,CDKN1A
LOC90784,BAX
LOC90784,CDK4
LOC90784,CCND1
LOC90784,MMP2
LOC90784,MMP9
HULC,COX2
XIST,ZEB1
ZEB1-AS1,ZEB1
PVT1,HK2
ABHD11-AS1,RHOC
HAGLR,SOX4
STAT3,HAGLR
CRNDE,DUSP5
CRNDE,CDKN1A
LINC00461,TOP2A
XIAP-AS1,XIAP
LINC0086,miR-214
LINC00668,VEGFA
H19,miR-21
MYC,MALAT1
HOXA11-AS,LATS1
H19,let-7a
ERLNC1,CDK4
ERLNC1,CDK6
ERLNC1,CCND1
HNF1A-AS1,SOX4
ZEB1-AS1,miR-200s
PVT1,miR-195
MALAT1,RAP1B
LL22NC03-N64E9.1,KLF2
FER1L4,miR-106a-5p
HAGLR,ARHGAP11A
HAGLR,RGS3
SNHG15,miR-141
CPS1-IT1,HIF1A
UCA1,CDKN1A
UCA1,CDH1
MALAT1,EZH2
AB073614,SOX7
LINC00673,miR-150-5p
HOXA-AS2,miR-520c-3p
TINCR,PDK1
ANCR,CDKN1A
ANCR,CDKN1B
GAS5,miR-23a
CCEPR,PCNA
RSU1P2,MYC
lnc-Sox5,IDO1
TUG1,miR-145
MIR4435-2HG,YBX1
CCAT2,CDKN2B
MEG3,CDH1
HULC,TP53
HULC,CDKN1A
MALAT1,MMP2
MALAT1,MMP9
MEG3,AIFM2
CDKN2B-AS1,let-7a
CASC2,miR-181a
CASC2,PTEN
MEG3,CDH1
MEG3,FOXO1
GAS5,CDKN1B
XLOC_006390,KMT5A
RP11-169D4.1,CDH1
SPRY4-IT1,miR-101-3p
LINC00312,PI3K
LINC00312,AKT1
JMJD6,HOTAIR
LINC00261,CTNNB1
TUG1,CCND1
TUG1,CDK4
MIR100HG,miR-100
MIR100HG,miR-125b
GATA6,MIR100HG
miR-215,PCAT1
PCAT1,CRKL
LINC-ROR,DUSP7
FILNC1,MYC
FENDRR,MMP2
FENDRR,MMP9
NMRAL2P,TWIST1
NMRAL2P,VIM
NMRAL2P,CDH2
NMRAL2P,CDH1
TPM1-AS,TPM1
AFAP1-AS1,AKT1
AFAP1-AS1,PTEN
RP11-714G18.1,LRP2BP
MVIH,JUNB
LINC00958,VEGFC
FAF1,MAPK1
TUG1,BNIP3
TUG1,miR-145-5p
MEG3,MDM2
MEG3,TP53
SCHLAP1,MAPK1
MEG3,PTEN
RAB11B-AS1,RAB11B
COL1A2-AS1,SMAD7
COL1A2-AS1,miR-21
FTX,BCL2L2
SNHG1,WNT2B
CYTOR,PRKAA1
MIAT,STAT3
TP73-AS1,TGFA
SNHG3,GSK3B
SNHG3,CTNNB1
MYC,DANCR
DANCR,CDKN1A
TUG1,RUNX2
KLF3-AS1,GIT1
LOC100507600,BMI1
GAPLINC,EEF2K
HOXA-AS2,S100A4
SNHG16,ZEB1
CERNA2,JAK2
CERNA2,STAT3
XIST,SGK1
CRNDE,IRX5
MALAT1,MDM2
HOXA-AS2,GPC3
HOXA-AS2,S100A4
KCNQ1OT1,miR-214-3p
KCNQ1OT1,CASP1
H19,SOX4
H19,miR-194-5p
H19,FOXM1
MALAT1,VIM
AFAP1-AS1,IRF7
DLG1-AS1,ZHX1
HOTAIR,EZH2
PVT1,HILPDA
HOTAIR,CCND1
HOTAIR,CCND2
GAS5,PDCD4
KCNQ1OT1,CCNE2
SNHG6,CDKN1A
EGFR-AS1,EGFR
MEG3,HOXA11
LINC00515,ATG14
BCYRN1,NPR3
TUG1,ZEB1
LINC01260,CARD11
SNHG1,TGFBR2
SNHG1,RAB11A
LOC101930370,SHH
MIAT,LOXL2
NEAT1,USF1
LUCAT1,AKT1
LUCAT1,GSK3B
MALAT1,ATG7
CDR1-AS,miR-135a
TUG1,miR-223
ZFAS1,WNT3A
HOTAIR,PTEN
LINC00261,FOXO1
STAT3,MEG3
MEG3,JAK2
MEG3,miR-147
FALEC,PDK1
FOXCUT,MMP9
FOXCUT,MMP2
CASC15,LGR5
AFAP1-AS1,TCF4
PCBP2-OT1,CDKN1A
PCBP2-OT1,CCND1
BANCR,MAP1LC3A
BANCR,MAP1LC3B
PART1,BCL2
TGFB1,LNCRNA-ATB
PVT1,FGFR1
PVT1,FGF2
NEAT1,CDK5R1
SPINT1-AS1,SPINT1
CASC2c,F10
CASC2c,CPEB1
miR-103,lncWDR59
MALAT1,miR-199b
CRNDE,FOXM1
NORAD,TGFB1
KCNQ1OT1,SMAD4
PCGEM1,miR-148a
PGK1P2,PGK1
NONHSAG045500,SLC6A4
LOXL1-AS1,PI3K
LOXL1-AS1,AKT1
MALAT1,CHUK
MALAT1,PARP1
MALAT1,NFKB1
MIR22HG,HMGB1
DANCR,SPHK2
HAGLROS,miR-100
SNHG1,miR-137
CYTOR,BCL2
CYTOR,MMP9
H19,COL1A1
DUXAP9,MYCN
PVT1,MTOR
PVT1,ABCC1
PVT1,ABCB1
PVT1,BCL2
PCAT29,RASAL1
PCAT29,MAPK3
PCAT29,MAPK1
PCAT29,TGFB1
PCAT29,miR-221
NORAD,PUM2
NORAD,E2F3
BDNF-AS,BDNF
PAUPAR,PAX6
H19,PI3K
H19,AKT1
H19,MTOR
TUG1,miR-29b
H19,SREBF1
H19,PTBP1
HOTAIR,SNAI1
HOTAIR,CDH1
MALAT1,BAX
MALAT1,CASP3
MALAT1,BCL2
MALAT1,PI3K
MALAT1,MTOR
MALAT1,GSK3B
LNCARSR,SREBF1
MALAT1,CDH1
MALAT1,CTNNB1
MALAT1,VIM
LINC01138,PRMT5
GAPLINC,miR-382-5p
GAPLINC,miR-575
HOTAIR,miR-17-5p
NPTN-IT1,TIMP2
E2F1,RGMB-AS1
HK2P1,HK2
ENST00113,PI3K
ENST00113,AKT1
ENST00113,MTOR
MALAT1,PI3K
MALAT1,CDKN1A
MALAT1,FAS
PDIA3P1,G6PD
FENDRR,FOXF1
MEG3,miR-184
NEAT1,miR-335-5p
NEAT1,ROCK1
miR-122,HOTTIP
miR-204,HOTTIP
TGFB1,MALAT1
LIN28A,MALAT1
EBF3-AS,EBF3
MALAT1,VEGFA
SNHG16,E2F1
HOTTIP,CCND1
HOTTIP,PCNA
HOTTIP,CTNNB1
HOTTIP,MYC
H19,BCR-ABL
MEG3,miR-223
MEG3,NLRP3
MSX2P1,S100A7
GHET1,LATS1
GHET1,YAP1
GAS5,EZH2
H19,WNT1
SNHG5,SOX2
CASC7,miR-30c
ZEB1,HOTAIR
HOTAIR,EZH2
LINC00312,miR-197-3p
linc-DYNC2H1-4,MMP3
TSLP,HOTAIR
MEG3,miR-770-5p
MEG3,SRGAP1
SLC7A11-AS1,SLC7A11
SNHG1,MYC
SNHG1,TCF7
PVT1,miR-488-3p
MALAT1,ZEB1
MALAT1,ZEB2
LINC00630,HDAC1
LINC00630,DDX23
NEAT1,HMGA1
DLEU2,ZEB2
UCA1,CCND1
lncRNA625,miR-432
miR-26a,MEG3
FOXCUT,FOXC1
AL163636.1,EGFR
LINC00673,HOXA5
TLX3,MIR99AHG
MIR99AHG,miR-125b
UCA1,miR-18a
HOTAIR,LRRK2
MALAT1,AKT1
HOTAIR,ADAMTS5
MEG3,NOTCH1
MEG3,TGFB1
H19,SOX8
lncRNA-p3134,PI3K
lncRNA-p3134,AKT2
lncRNA-p3134,MTOR
GAS5,KLF2
RP11-445H22.4,CXCR4
CCAT1,let-7c
TUG1,miR-455-3p
TUG1,HK2
LINC00589,STAT3
ZFAS1,miR-27a
MALAT1,miR-146a
MEG3,NFE2L2
MEG3,ZEB1
MALAT1,miR-127-5p
miR-19a,NBR2
DGCR5,KLF14
GAS5,miR-18a-5p
MALAT1,CDK9
TNF,HIF1A-AS1
HIF1A-AS1,CASP3
HOTAIR,OGFR
H19,miR-130b
LINC00472,DEDD
GAS5,MTOR
circPVT1,miR-497-5p
MALAT1,CDC6
LINC-ROR,SOX9
XIST,PDE4D
HIF1A-AS2,HIF1A
LINC00941,SNAI1
LINC00941,ANXA2
RP11-296A18.3,HIF1A
TP53COR1,OLR1
XIST,LARP1
H19,IRS1
MALAT1,CXCL5
H19,DSG1
uc.339,CCNE2
YAP1,BCAR4
HOTAIR,miR-193a
miR-193a,HOTAIR
MALAT1,miR-200c
LINC01567,miR-93
HOTAIR,miR-34a
WDR7-7,GPER1
XIST,RSF1
YY1,SOX2-OT
LINC00346,JAK2
LINC00346,STAT3
IATPR,ZEB1
TP73-AS1,miR-142
FOXD2-AS1,ABCC3
ZFAS1,miR-329
DANCR,miR-758-3p
CDKN2B-AS1,miR-125a
HEIH,BCL2L1
HEIH,miR-939
NEAT1,ROCK1
GAS5,SPRY2
SNHG1,MTDH
MAGI2-AS3,FAS
MAGI2-AS3,FASLG
HAGLR,miR-217
MEG3,miR-21
ITGB2-AS1,ITGB2
MIR22HG,YBX1
MIR22HG,MET
MIR22HG,CDKN1A
HOTAIRM1,DLGAP1
PVT1,STAT1
HULC,PTEN
HULC,SQSTM1
UCA1,CDKN1B
UCA1,MTOR
UCA1,KRAS
HOTAIR,miR-613
TUG1,miR-153
PVT1,miR-26b
LINC-ROR,MUC1
HOTAIR,NPM1
SNHG20,ADAM10
SNHG6,CDKN1A
SNHG7,CCND1
lncRNA-CTD-2108O9.1,LIFR
CYTOR,miR-107
OIP5-AS1,DYRK1A
TP63,LINC01503
XIST,NOTCH1
HAGLR,E2F8
AWPPH,SMAD4
XIST,MAPK1
H19,miR-484
MALAT1,AKAP12
H19,GRN
LINC00554,MARCKSL1
LINC00554,MARCKS
ABHD11-AS1,CCND1
AFAP1-AS1,CDKN1A
RP5-1024C24.1,MPPED2
LINC00599,miR-185-5p
LINC00473,USP9X
ZFAS1,KLF2
ZFAS1,NKD2
ZFAS1,ZEB2
ZFAS1,ZEB1
PVT1,TWIST1
NEAT1,PNPLA2
GAPLINC,MAPK1
PVT1,TGFB1
UCA1,miR-144
CAMTA1-DT,miR-20b
CEBPB,NEAT1
MIAT,miR-214
PVT1,miR-190a-5p
PVT1,miR-488-3p
TMEM238L,miR-942
OIP5-AS1,ZEB1
MALAT1,SP1
RP11-552M11.4,BRCA2
lncRNA-PRLB,SIRT1
MRUL,ABCB1
UCA1,SMARCA4
UCA1,CDKN1A
H19,HMGA2
MALAT1,PTBP2
H19,miR-675
H19,TGFBI
SOX2-OT,EZH2
SOX2-OT,CCNB1
SOX2-OT,CDK1
HOTAIR,CDH1
HOTAIR,VIM
HOTAIR,MMP9
LINC-ROR,ZEB2
H19,RUNX1
HNF1A-AS1,H19
TUSC8,MYC
H19,ISM1
H19,CALN1
HOTAIR,ERBB2
UCA1,WNT6
BANCR,CDH1
BANCR,CDH2
BANCR,VIM
MALAT1,SUZ12
TGFB1,MALAT1
HOTAIR,RBM38
miR-148a,MEG3
UCA1,CDKN1B
H19,miR-675
HOTAIR,WIF1
miR-125b,MALAT1
HOTAIR,CDKN1A
HOTAIR,HOXA5
MEG3,TP53
BLACAT1,SUZ12
BLACAT1,EZH2
HOXA-AS2,TNFSF10
CBR3-AS1,AR
H19,miR-200
UCA1,CREB1
HOTAIR,MMP9
HOTAIR,VEGFA
HOTAIR,CDKN2A
HOTAIR,DNMT1
NEAT1,SPP1
NEAT1,KLF6
ZBTB7A,LINC00473
LINC00473,IL24
NEAT1,miR-194
GHET1,CDH1
GHET1,CDH2
GHET1,VIM
AC132217.4,IGF2
KLF8,AC132217.4
MALAT1,STMN1
MALAT1,RAB5A
MALAT1,ATG4D
YY1,HOTAIR
HOTAIR,MMP2
IFNG-AS1,HLA-DRB1
H19,EPCAM
TUG1,EZH2
MALAT1,SMAD4
MALAT1,PIK3R1
PURPL,TP53
AFAP1-AS1,RAP1B
miR-101-3p,MALAT1
NEAT1,SIN3A
NEAT1,GATA3
MIR155HG,miR-155
LINC01139,LDHA
OIP5-AS1,KLF10
UCA1,miR-204-5p
lncSHRG,HES6
IGF2-AS,IGF2
XIST,PPP1R13L
LINC00313,SOX2
MIR31HG,miR-193b
lnc-DILC,IL6
lnc-DILC,STAT3
SPRY4-IT1,DPP4
OIP5-AS1,ELAVL1
H19,DNMT1
MALAT1,CDH1
MEG3,HDAC7
MALAT1,SNAI2
MEG3,SKP2
FOXD3,OLA1P2
OLA1P2,STAT3
MALAT1,miR-140
UHRF1,MEG3
MEG3,TP53
MALAT1,miR-145
LINC-ROR,NANOG
ZFAS1,CDK1
miR-203,HULC
MEG3,miR-21-5p
UCA1,ZEB1
UCA1,ZEB2
UCA1,FSCN1
CDKN2B-AS1,YY1
MALAT1,GRB2
miR-192,HOTTIP
MALAT1,EZH2
UCA1,TERT
UCA1,MYC
GAS5,CDKN1B
TINCR,KLF2
MEG3,E2F3
miR-1,MALAT1
LSINCT5,CASP1
LSINCT5,IL1B
SIRT1-AS,SIRT1
HOTAIR,CCNJ
HOTAIR,miR-205
TUG1,ZEB2
FER1L4,miR-106a-5p
HOTAIR,SETD2
TUG1,KLF2
UCA1,miR-143
MEG3,BCL2
PCA3,PRUNE2
HOTAIR,CDKN1A
WSPAR,TCF7
BGLT3,PTEN
XIST,miR-152
MALAT1,EZH2
MALAT1,miR-205
PANDAR,BCL2
RP5-833A20.1,miR-382-5p
RP5-833A20.1,NFIA
MEG3,VEGFA
miR-26a,MEG3
MEG3,TP53
VLDLR-AS1,ABCG2
PCGEM1,miR-145
MALAT1,BCL2
OIP5-AS1,YAP1
HOXA11-AS,CTNNB1
HOXA11-AS,KLF2
RP11-708H21.4,AKT1
RP11-708H21.4,MTOR
RP11-708H21.4,RPS6KB1
LUCAT1,CDKN1A
LUCAT1,CDKN1C
PHBP1,PHB
MALAT1,TRAF6
UC.134,LATS1
UC.134,YAP1
CBR3-AS1,TGFB1
CBR3-AS1,CDH2
CBR3-AS1,CCND1
CBR3-AS1,CDH1
PTENP1,PTEN
NKILA,SNAI1
NKILA,NFKB1
NKILA,NFKBIA
CRNDE,CTNNB1
CRNDE,MYC
CRNDE,CCND1
CRNDE,miR-136
XIST,RAC1
HNRNPKP2,CXCR4
STAT5A,HNRNPKP2
TP73-AS1,HMGB1
TP73-AS1,AGER
PRAL,TP53
XIST,PTEN
LINC00672,LASP1
CCAT1,SPRY4
CCAT1,HOXB13
LNCSRLR,IL6
LNCSRLR,STAT3
GASAL1,E2F1
lncRNA-BCAT1,CCND1
lncRNA-BCAT1,MYC
lncRNA-BCAT1,MMP2
lncRNA-BCAT1,CTNNB1
MALAT1,TYMS
TUG1,HMGB1
AK093407,STAT3
SNHG16,E2F5
PSMD6-AS1,MDM2
lnc-Sox5,ELAVL1
PVT1,HIF1A
UCA1,CASP3
UCA1,CDK2
UCA1,CDKN1A
LINC-ROR,TP53
LINC-ROR,miR-145
LINC01116,GAPDH
LINC01116,MAP1LC3B2
LINC01116,H2AFY
FTX,MTDH
MALAT1,CDH1
HAGLR,CDKN1A
PVT1,MYC
KCNQ1OT1,CCNE2
LINC01013,SNAI1
LOC100129148,KLF12
MALAT1,HMGB1
RB1-DT,RB1
LINC00092,PFKFB2
UCA1,BCL2
CASC2,CTNNB1
SNHG1,SOX9
CASC2c,miR-101
MEG3,miR-214
SPRY4-IT1,EZH2
MALAT1,SRSF1
NEAT1,CTNNB1
NEAT1,CDH2
NEAT1,CDH1
SNHG5,KLF4
H19,VDR
PVT1,ATG7
PVT1,BECN1
RP11-190D6.2,WWOX
MALAT1,VIM
MALAT1,CDH1
SNHG6-003,MAP3K7
PILRLS,TCL1A
PILRLS,MDM2
AK058003,SNCG
miR-216a,MALAT1
LINC-ROR,miR-205
LINC-ROR,ZEB1
CCAT2,TGFB1
CCAT2,SMAD2
CCAT2,SMN1
NEAT1,miR-214
AFAP1-AS1,TWIST1
AFAP1-AS1,VIM
AFAP1-AS1,CDH1
PVT1,miR-146a
LncRNA-HIT,ZEB1
HOTAIR,miR-22
MALAT1,MCL1
RP5-833A20.1,NFIA
RMRP,miR-206
RMRP,FMNL2
RMRP,KRAS
RMRP,SOX9
LINC00161,IFIT2
lncRNA-Unigene56159,SNAI2
CCAT1,miR-410
LNCARSR,YAP1
linc-cdh4-2,CDH4
linc-cdh4-2,RAC1
SNHG18,SEMA5A
H19,IL6
HULC,CXCR4
SNHG5,MTA2
H19,RB1
H19,E2F1
H19,CDK8
H19,CTNNB1
GIHCG,miR-200b
GIHCG,miR-200a
GIHCG,miR-429
HOTAIR,miR-1
UCA1,SOX4
UCA1,HIF1A
HULC,NKD2
H19,VASH2
HULC,TERF2
MALAT1,TERF2
FENDRR,EZH2
FTX,miR-374a
FTX,MCM2
UCA1,TP53
UCA1,PIM1
UCA1,PKM
BRCA1,NEAT1
NEAT1,miR-129-5p
NEAT1,WNT4
LINC01133,SRSF6
LINC-ROR,POU5F1
LINC-ROR,SOX2
LINC-ROR,NANOG
LINC-ROR,PROM1
GPC3-AS1,GPC3
MFI2,FOXP4
BCAR4,GLI2
HOTAIR,miR-326
HOTAIR,SP1
MALAT1,MMP14
MALAT1,SNAI1
CAMTA1-DT,CAMTA1
NEAT1,NRAS
XIST,KLF2
FER1L4,PTEN
miR-17-3p,GCASPC
KRT7-AS,KRT7
XIST,EZH2
linc-223,IRF4
CLMAT3,CDKN1B
CLMAT3,CDH1
CAR10,EGFR
CAR10,YBX1
XIST,PDK1
TRPM2-AS,SHC1
miR-491-5p,PRINS
HOTAIR,TP53
HOTAIR,CDKN1A
HOTAIR,SOX2
